ids,rouge/geometric_mean_seg_0,preds_seg_0,preds_seg_0_tokens,target_text,labels
tr-sq-500,25.7004,"Industrial Designer mentioned that the power source would be a small chip, which could be used to","[    0  9199 11296  2799    24     8   579  1391   133    36     3     9
   422  6591     6    84   228    36   261    12]","Industrial Designer mentioned that the power source would tell how long the device would last and how far it could transmit the signal or the complexity of the functions. Industrial Designer also mentioned that in the general design, the purpose of this was not to have a constraint in the sense of adding more power.","[ 9199 11296  2799    24     8   579  1391   133   817   149   307     8
  1407   133   336    11   149   623    34   228  9153     8  3240    42
     8 11641    13     8  3621     5  9199 11296    92  2799    24    16
     8   879   408     6     8  1730    13    48    47    59    12    43
     3     9 27354    17    16     8  1254    13  2651    72   579     5
     1  -100  -100  -100  -100  -100  -100  -100  -100]"
tr-sq-1174,13.4532,Project Manager suggested that they could combine right- and left-handed people to make a right,"[    0  2786  3440  5259    24    79   228  5148   269    18    11   646
    18 20391   151    12   143     3     9   269]","Industrial Designer recalled that some acquaintances have left- and right-handed people in the family but they all use the right-handed mouse for the computer. Marketing added that the remote only required pressing buttons and it would not be too hard. However, in the end, they agreed to have both in stock to make them more appealing.","[ 9199 11296     3 24312    24   128 30585     7    43   646    18    11
   269    18 20391   151    16     8   384    68    79    66   169     8
   269    18 20391  8429    21     8  1218     5  4329   974    24     8
  4322   163   831 13840 10634    11    34   133    59    36   396   614
     5   611     6    16     8   414     6    79  4686    12    43   321
    16  1519    12   143   135    72 12817     5     1]"
tr-sq-49,17.1818,"Marketing first presented on user requirements. According to Marketing, users only use ten percent of the","[   0 4329  166 2569   30 1139 1502    5 2150   12 4329    6 1105  163
  169    3  324 1093   13    8]","Marketing first shared the results of their lab tests. It was found that users preferred a fancier but yet simpler remote, and as a result, their product should be high-tech looking but also user-friendly. Since the research found that most users would only use ten percent of the buttons, they decided to only keep the most necessary ones on their remote. Users also claimed that remotes tend to be lost easily. Finally, since speech recognition was popular among users, the remote should have this function as well.","[ 4329   166  2471     8   772    13    70  7690  3830     5    94    47
   435    24  1105  6241     3     9  1819  9186    68   780 15673  4322
     6    11    38     3     9   741     6    70   556   225    36   306
    18  3470   479    68    92  1139    18  4905     5  1541     8   585
   435    24   167  1105   133   163   169     3   324  1093    13     8
 10634     6    79  1500    12   163   453     8   167  1316  2102    30
    70  4322     5 13504    92  7760    24  4322     7  2134    12    36
  1513  1153     5  4213     6   437  5023  5786    47  1012   859  1105
     6     8  4322   225    43    48  1681    38   168     5     1]"
tr-sq-99,7.4765,"Project Manager recommended a few extra features such as the appearance of fruit and vegetable patterns, the","[    0  2786  3440  3024     3     9   360   996   753   224    38     8
  3179    13  2728    11 12065  4264     6     8]","Given the fact that for families with children, remote controls were always played or even thrown by kids, Project Manager would prefer the material used in the construction of the product, especially on the outside, to be unbreakable. Project Manager also suggested that the product should be slim and simple. On top of that, it would be better if the remote control could be universal to use for any kind of television.","[ 9246     8   685    24    21  1791    28   502     6  4322  7415   130
   373  1944    42   237     3 12618    57  1082     6  2786  3440   133
  2396     8  1037   261    16     8  1449    13     8   556     6   902
    30     8  1067     6    12    36    73 14577   179     5  2786  3440
    92  5259    24     8   556   225    36 12593    11   650     5   461
   420    13    24     6    34   133    36   394     3    99     8  4322
   610   228    36  7687    12   169    21   136   773    13  4390     5
     1  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100]"
tr-sq-724,18.3991,"User Interface proposed to design two buttons on remote control. One was for channel change, the other","[    0  6674 25064  4382    12   408   192 10634    30  4322   610     5
   555    47    21  4245   483     6     8   119]","User Interface proposed that to avoid excessive buttons, a slide button could be used and envisaged that the push button could be added when changing the function of the slider. Project Manager agreed and supposed that three buttons could be put on a slider. Eventually, the team achieved an agreement that they need buttons for channel change, power, menu and volume.","[ 6674 25064  4382    24    12  1792 10981 10634     6     3     9  9116
  2218   228    36   261    11 23425    26    24     8  3292  2218   228
    36   974   116  2839     8  1681    13     8 23676     5  2786  3440
  4686    11  5741    24   386 10634   228    36   474    30     3     9
 23676     5     3 18167     6     8   372  5153    46  2791    24    79
   174 10634    21  4245   483     6   579     6  2285    11  2908     5
     1  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100]"
tr-sq-1001,14.7698,The team agreed that the new TV remote controls would be a good selling point because they would,"[   0   37  372 4686   24    8  126 1424 4322 7415  133   36    3    9
  207 3014  500  250   79  133]","There were two reasons. The first was that the unit price of each remote control was relatively high (twenty-five Euros). Therefore, in order to increase customers' willingness to spend so much money on one single remote control, the features must be satisfying and good enough. The second was the competition since there were other TV remote controls in the market. The new TV remote controls shall be special and different from the rest so as to attract customers.","[  290   130   192  2081     5    37   166    47    24     8  1745   594
    13   284  4322   610    47  4352   306    41    17 16103    63    18
 16443  2430     7   137  4063     6    16   455    12   993   722    31
 20463    12  1492    78   231   540    30    80   712  4322   610     6
     8   753   398    36 16156    11   207   631     5    37   511    47
     8  2259   437   132   130   119  1424  4322  7415    16     8   512
     5    37   126  1424  4322  7415  1522    36   534    11   315    45
     8   880    78    38    12  5521   722     5     1]"
tr-sq-838,20.2252,The prototype was a pretty simple design with an obvious company logo on it and a simple,"[    0    37 14402    47     3     9  1134   650   408    28    46  4813
   349  3554    30    34    11     3     9   650]","The prototype was a pretty simple design with an obvious company logo on it and two buttons in the middle. There were also power buttons and nine others for switching channels with the incorporation of the menu and teletext. In the middle there was a part of hard material, a bit of hard plastic with a light behind it. In terms of materials and color, the team designed one colour for the plastic enclosure and one colour for the rubber buttons. Also, the team agreed that the company logo, together with the standard color could be the company's identity. Last but not least, the current device did not include the docking station but the Marketing expressed his interest towards it and the team decided to reconsider it in the following parts of the meeting.","[   37 14402    47     3     9  1134   650   408    28    46  4813   349
  3554    30    34    11   192 10634    16     8  2214     5   290   130
    92   579 10634    11  4169   717    21 14569  6047    28     8 21817
   257    13     8  2285    11     3  1931  6327     5    86     8  2214
   132    47     3     9   294    13   614  1037     6     3     9   720
    13   614  2343    28     3     9   659  1187    34     5    86  1353
    13  1397    11   945     6     8   372   876    80  3243    21     8
  2343 22104    11    80  3243    21     8  7859 10634     5  1203     6
     8   372  4686    24     8   349  3554     6   544    28     8  1068
   945   228    36     8   349    31     7  4810     5  2506    68    59
   709     6     8   750  1407   410    59   560     8 12908    53  2478
    68     8  4329  7103   112  1046  1587    34    11     8   372  1500
    12 27812    34    16     8   826  1467    13     8  1338     5     1]"
tr-sq-373,17.1894,Dr Frank Atherton first gave a very clear message that legislation was needed to deliver for,"[    0   707  4937    71   189 24471   166  1891     3     9   182   964
  1569    24  6704    47   906    12  2156    21]","According to Dr Frank Atherton's answer to legislations' timing, it was very clear that the implementation of legislation to build a healthy environment was very approved by Dr Frank Atherton and even by a large group in the consultation. Dr Frank Atherton reviewed that they needed a mirror to see what had been happening in this country and legislation was a good way and took some examples of food takeaways which showed that they needed to consider effectiveness things.","[ 2150    12   707  4937    71   189 24471    31     7  1525    12  6704
     7    31  9398     6    34    47   182   964    24     8  4432    13
  6704    12   918     3     9  1695  1164    47   182  3754    57   707
  4937    71   189 24471    11   237    57     3     9   508   563    16
     8  4577     5   707  4937    71   189 24471  9112    24    79   906
     3     9  5432    12   217   125   141   118  4626    16    48   684
    11  6704    47     3     9   207   194    11   808   128  4062    13
   542   240     9  6415    84  3217    24    79   906    12  1099  9570
   378     5     1  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100]"
tr-sq-573,23.6379,User Interface thought that the new product should be good-looking and branded with their company logo,"[    0  6674 25064   816    24     8   126   556   225    36   207    18
 10119    11     3 16108    28    70   349  3554]","The group agreed that the product should be good-looking and branded with their company logo. Industrial Designer thought they should keep the functions simple and basic and aimed at the exterior design. As for the teletext, Project Manager had intended to remove it from their new product, but considering the popularity of teletext, they decided to keep it since it wouldn't affect the price anyway. Besides, the product was demanded to be only for TV, but Marketing thought they should design an all-in-one ultimate remote control which would be easier to sell.","[   37   563  4686    24     8   556   225    36   207    18 10119    11
     3 16108    28    70   349  3554     5  9199 11296   816    79   225
   453     8  3621   650    11  1857    11     3  8287    44     8  5942
   408     5   282    21     8     3  1931  6327     6  2786  3440   141
  3855    12  2036    34    45    70   126   556     6    68  4014     8
  9897    13     3  1931  6327     6    79  1500    12   453    34   437
    34  3290    31    17  2603     8   594  6161     5     3  8500     6
     8   556    47  4399    26    12    36   163    21  1424     6    68
  4329   816    79   225   408    46    66    18    77    18   782  5737
  4322   610    84   133    36  1842    12  1789     5     1]"
tr-sq-1196,56.7638,The members were thanked for their efforts in saving lives during the ongoing pandemic. The,"[   0   37  724  130  145 5100   21   70 2231   16 4380 1342  383    8
 4912 2131  221 3113    5   37]",Essential workers were thanked for their efforts in saving lives during the ongoing pandemic. It was noted that the week was Paramedic Services Week in appreciation of their work.,"[17135  2765   130   145  5100    21    70  2231    16  4380  1342   383
     8  4912  2131   221  3113     5    94    47  4466    24     8   471
    47  4734  5700    75  1799  6551    16 11746    13    70   161     5
     1  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100]"
tr-gq-764,13.955,The group discussed the conceptual design of the remote control. Industrial Designer gave a presentation on the,"[    0    37   563  5172     8 17428   408    13     8  4322   610     5
  9199 11296  1891     3     9  3831    30     8]","This meeting was about conceptual design. Firstly, groupmates had three presentations on components, trend watching, and interface contents. Their target age group was below forty, so they suggested personal preferences on the remote, like the material, the battery, the speech recognition technology, etc. Then, they discussed the trendy features and decided to include parental control as well as the gaming features in the remote control. Finally, Project Manager shared some master class knowledge with group mates and suggested applying a marketing campaign, large provider marketing approach, and real reaction product idea.","[  100  1338    47    81 17428   408     5     3 23559     6   563 11171
   141   386  9972    30  3379     6  4166  3355     6    11  3459 10223
     5  2940  2387  1246   563    47   666 19662     6    78    79  5259
   525 11177    30     8  4322     6   114     8  1037     6     8  3322
     6     8  5023  5786   748     6   672     5    37    29     6    79
  5172     8 18571   753    11  1500    12   560 21555   610    38   168
    38     8  7081   753    16     8  4322   610     5  4213     6  2786
  3440  2471   128  2325   853  1103    28   563     3 11171    11  5259
  6247     3     9  1070  2066     6   508  3175  1070  1295     6    11
   490  6363   556   800     5     1  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100]"
tr-gq-856,14.9857,"The whole meeting was about detailed design of the remote control. First of all, the prototype was","[    0    37   829  1338    47    81  3117   408    13     8  4322   610
     5  1485    13    66     6     8 14402    47]","The discussion in this meeting focused on detailed design. First of all, the prototype was presented, which was pretty much like what the group had agreed before, including the yellow colour, cover and buttons made by rubber, etc. However, what they had exceeded their expected budget. Therefore, they had discussions on which features were okay to be taken out. They finally agreed on removing speech recognition, and the special colour. Then they did an evaluation of their product, and overall they did well. To sum up this teamwork experience, the Project Manager emphasized the importance of the communications. At last, they had a discussion on the product name, and agreed on ""triple R"".","[   37  3071    16    48  1338  2937    30  3117   408     5  1485    13
    66     6     8 14402    47  2569     6    84    47  1134   231   114
   125     8   563   141  4686   274     6   379     8  4459  3243     6
  1189    11 10634   263    57  7859     6   672     5   611     6   125
    79   141 22080    70  1644  1487     5  4063     6    79   141  7574
    30    84   753   130  8957    12    36  1026    91     5   328  2031
  4686    30     3  8499  5023  5786     6    11     8   534  3243     5
    37    29    79   410    46  5002    13    70   556     6    11  1879
    79   410   168     5   304  4505    95    48   372  1981   351     6
     8  2786  3440     3 25472     8  3172    13     8  5030     5   486
   336     6    79   141     3     9  3071    30     8   556   564     6
    11  4686    30    96 14192   109   391  1280     1]"
tr-sq-1181,11.8886,User Interface thought that User Interface's favourite animal was a lion. He preferred ,"[    0  6674 25064   816    24  6674 25064    31     7  3960  2586    47
     3     9     3  7325     5   216  6241     3]","The animal User Interface drew was a badger. When Project Manager demanded the reason for this unusual choice, User Interface first answered that it was because badgers were grumpy and nocturnal. Industrial Designer joked about whether this suggested that User Interface had the same characteristics. User Interface then explained that his/her favourable impression of the badger came from books like Wind in the Willow, where badgers were cooler animals than what people generally imagine them to be.","[   37  2586  6674 25064     3    26    60   210    47     3     9 13402
    52     5   366  2786  3440  4399    26     8  1053    21    48  7225
  1160     6  6674 25064   166  9986    24    34    47   250 13402    52
     7   130     3  9667  1167    63    11     3 14880  7535   138     5
  9199 11296 10802    26    81   823    48  5259    24  6674 25064   141
     8   337  6803     5  6674 25064   258  5243    24   112    87   760
     3 30786  5709    13     8 13402    52   764    45  1335   114  5634
    16     8 27087     6   213 13402    52     7   130 12796  3127   145
   125   151  2389  3034   135    12    36     5     1]"
tr-sq-717,24.4047,Meilyr Rowlands suggested that one way was through community-focused schools that had strong community,"[    0  1212  9203    52 11768  6347  5259    24    80   194    47   190
   573    18 19449  2061    24   141  1101   573]","John Griffiths AM suggested that one way was through community-focused schools that were very much accessible to the community, linked well with outside organisations, having an extended school-day offer. Meilyr Rowlands agreed that it was a good method and the government was delighted to support the remaining schools which still participate in the process in every way. It was concluded that a new mechanism should be added to avoid misunderstanding the role of community-focused schools.","[ 1079 29345     7  5422  5259    24    80   194    47   190   573    18
 19449  2061    24   130   182   231  3551    12     8   573     6  5229
   168    28  1067  6445     6   578    46  4760   496    18  1135   462
     5  1212  9203    52 11768  6347  4686    24    34    47     3     9
   207  1573    11     8   789    47 10693    12   380     8  4080  2061
    84   341  3716    16     8   433    16   334   194     5    94    47
 12179    24     3     9   126  8557   225    36   974    12  1792     3
 28063     8  1075    13   573    18 19449  2061     5     1  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100]"
tr-sq-441,15.6148,"Industrial Designer proposed to use kinetic as the source of energy, but User Interface also proposed to","[    0  9199 11296  4382    12   169     3 27268    38     8  1391    13
   827     6    68  6674 25064    92  4382    12]","Industrial Designer proposed to specify the location of the microphone. Project Manager and User Interface disagreed with each other. Project Manager thought the microphone should be under the flip so that users could easily turn off the voice recognition, whereas User Interface insisted that microphone should be on the side so that the remote control could be activated by voice even when out of reach.","[ 9199 11296  4382    12 11610     8  1128    13     8 18701     5  2786
  3440    11  6674 25064 15788    26    28   284   119     5  2786  3440
   816     8 18701   225    36   365     8 10807    78    24  1105   228
  1153   919   326     8  2249  5786     6     3 10339  6674 25064    16
 15777    24 18701   225    36    30     8   596    78    24     8  4322
   610   228    36  8195    26    57  2249   237   116    91    13  1535
     5     1  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100]"
tr-sq-1235,16.0085,"According to Kirsty, they were not involved in the intervention. The relationship with the","[    0  2150    12 10976     7    17    63     6    79   130    59  1381
    16     8  7897     5    37  1675    28     8]","According to Kirsty, they would be ""seeking assurances"". It meant that Neath Port Talbot would need to demonstrate to them how they were going to address these problems. However, so far, they had not seen the plans. But if Neath Port Talbot were to push forward and follow on the notice, they would want to see. Now, what they were doing was waiting for their responses.","[ 2150    12 10976     7    17    63     6    79   133    36    96  2338
  1765 12203     7  1280    94  3679    24  1484     9   189  3625 11350
  4045   133   174    12  5970    12   135   149    79   130   352    12
  1115   175   982     5   611     6    78   623     6    79   141    59
   894     8  1390     5   299     3    99  1484     9   189  3625 11350
  4045   130    12  3292  1039    11  1130    30     8  2103     6    79
   133   241    12   217     5   852     6   125    79   130   692    47
  2794    21    70  7216     5     1]"
tr-sq-302,87.5959,Project Manager thought that setting the selling target was of high importance for a big international company making,"[   0 2786 3440  816   24 1898    8 3014 2387   47   13  306 3172   21
    3    9  600 1038  349  492]",Project Manager thought that setting the selling target was of high importance for a big international company making marketing plans including sales target.,"[2786 3440  816   24 1898    8 3014 2387   47   13  306 3172   21    3
    9  600 1038  349  492 1070 1390  379 1085 2387    5    1 -100 -100
 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100
 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100]"
tr-sq-662,56.1641,The statistics in the paper are based on the transcripts of two meetings and two telephone conversation,"[    0    37  7475    16     8  1040    33     3   390    30     8 20146
     7    13   192  4677    11   192  6596  3634]","The statistics in the paper are based on the transcripts of two meetings and two telephone conversation corpora. In the first two, the overlapped words vary between 9% and 18%. The telephone conversation results were in-between and very similar to each other.","[   37  7475    16     8  1040    33     3   390    30     8 20146     7
    13   192  4677    11   192  6596  3634 11736   127     9     5    86
     8   166   192     6     8 21655  3138  1234  5215   344     3  7561
    11   507  1454     5    37  6596  3634   772   130    16    18 24829
    11   182  1126    12   284   119     5     1]"
