ids,pred_seg_0,labels_seg_0
125_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
453_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
566_nda-8,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
159_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
290_nda-11,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
279_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
371_nda-3,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
166_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
198_nda-2,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
303_nda-10,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
119_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
581_nda-20,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
234_nda-7,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
325_nda-17,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
233_nda-20,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
119_nda-16,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
202_nda-20,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
530_nda-8,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
617_nda-16,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
282_nda-12,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
280_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
335_nda-3,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
623_nda-11,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
423_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
441_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
587_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
324_nda-17,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
338_nda-13,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
311_nda-10,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
277_nda-12,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
209_nda-11,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
322_nda-12,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
428_nda-18,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
206_nda-8,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
342_nda-7,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
409_nda-17,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
237_nda-18,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
265_nda-13,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
253_nda-10,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
160_nda-20,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
196_nda-13,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
101_nda-20,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
238_nda-11,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
431_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
249_nda-13,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
617_nda-13,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
167_nda-18,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
194_nda-11,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
203_nda-5,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
118_nda-5,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
282_nda-16,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
320_nda-12,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
242_nda-18,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
313_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
414_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
360_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
312_nda-2,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
272_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
560_nda-11,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
134_nda-17,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
462_nda-8,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
302_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
441_nda-1,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
378_nda-8,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
305_nda-11,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
390_nda-11,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
469_nda-12,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
531_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
477_nda-10,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
570_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
347_nda-1,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
589_nda-15,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
92_nda-11,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
249_nda-10,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
594_nda-17,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
382_nda-2,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
146_nda-1,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
366_nda-7,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
513_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
168_nda-7,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
193_nda-13,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
182_nda-19,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
341_nda-17,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
377_nda-17,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
463_nda-17,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
495_nda-7,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
524_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
201_nda-3,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
235_nda-1,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
538_nda-8,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
556_nda-17,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
410_nda-1,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
119_nda-17,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
124_nda-20,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
349_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
365_nda-17,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
207_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
592_nda-20,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
364_nda-10,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
388_nda-10,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
258_nda-10,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
163_nda-16,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
352_nda-11,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
156_nda-20,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
34_nda-17,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
148_nda-10,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
167_nda-7,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
186_nda-3,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
259_nda-7,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
593_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
132_nda-1,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
303_nda-16,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
156_nda-1,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
499_nda-15,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
323_nda-10,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
261_nda-20,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
118_nda-18,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
300_nda-16,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
460_nda-11,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
477_nda-1,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
104_nda-7,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
500_nda-20,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
613_nda-7,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
278_nda-8,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
133_nda-10,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
449_nda-12,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
420_nda-11,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
468_nda-20,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
522_nda-10,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
259_nda-8,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
367_nda-10,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
505_nda-20,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
300_nda-10,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
341_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
271_nda-2,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
467_nda-2,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
316_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
599_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
208_nda-10,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
448_nda-20,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
158_nda-12,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
235_nda-12,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
341_nda-11,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
522_nda-11,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
487_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
338_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
247_nda-18,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
122_nda-20,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
349_nda-20,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
441_nda-16,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
505_nda-5,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
428_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
577_nda-7,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
199_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
135_nda-1,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
102_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
592_nda-18,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
619_nda-10,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
151_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
347_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
115_nda-18,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
247_nda-1,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
123_nda-3,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
457_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
577_nda-20,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
330_nda-18,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
319_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
570_nda-18,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
616_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
583_nda-7,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
592_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
567_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
457_nda-15,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
466_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
124_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
114_nda-13,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
111_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
453_nda-3,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
137_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
207_nda-8,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
141_nda-17,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
457_nda-10,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
551_nda-17,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
464_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
187_nda-1,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
475_nda-10,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
275_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
139_nda-8,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
379_nda-8,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
516_nda-3,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
579_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
172_nda-10,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
282_nda-17,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
226_nda-10,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
252_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
116_nda-3,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
562_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
463_nda-1,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
484_nda-16,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
460_nda-1,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
143_nda-17,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
338_nda-3,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
316_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
315_nda-18,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
457_nda-20,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
101_nda-11,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
562_nda-15,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
578_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
502_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
331_nda-20,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
561_nda-8,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
374_nda-13,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
133_nda-1,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
355_nda-11,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
410_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
91_nda-8,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
191_nda-10,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
613_nda-20,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
260_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
372_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
602_nda-17,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
624_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
334_nda-8,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
174_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
418_nda-17,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
420_nda-20,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
166_nda-8,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
425_nda-13,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
184_nda-10,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
196_nda-1,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
214_nda-5,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
326_nda-1,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
339_nda-19,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
404_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
148_nda-4,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
201_nda-11,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
553_nda-1,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
311_nda-17,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
297_nda-17,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
316_nda-10,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
334_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
535_nda-10,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
256_nda-13,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
162_nda-8,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
335_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
214_nda-18,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
180_nda-2,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
238_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
255_nda-16,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
161_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
495_nda-3,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
576_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
371_nda-1,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
279_nda-5,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
313_nda-7,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
535_nda-18,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
249_nda-3,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
562_nda-1,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
370_nda-17,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
531_nda-17,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
234_nda-8,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
178_nda-18,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
300_nda-20,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
109_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
409_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
194_nda-10,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
331_nda-18,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
562_nda-11,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
495_nda-16,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
355_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
377_nda-3,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
184_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
195_nda-19,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
422_nda-18,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
135_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
458_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
437_nda-19,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
462_nda-18,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
182_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
383_nda-11,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
311_nda-11,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
316_nda-13,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
159_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
118_nda-19,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
188_nda-8,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
106_nda-3,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
453_nda-18,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
570_nda-12,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
333_nda-12,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
241_nda-20,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
494_nda-7,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
460_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
257_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
624_nda-16,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
426_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
344_nda-20,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
272_nda-16,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
362_nda-20,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
325_nda-3,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
454_nda-2,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
561_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
284_nda-7,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
530_nda-1,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
299_nda-3,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
531_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
298_nda-10,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
351_nda-3,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
139_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
349_nda-18,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
91_nda-5,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
298_nda-11,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
519_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
184_nda-17,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
416_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
490_nda-1,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
276_nda-16,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
477_nda-4,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
