ids,pred_seg,labels_seg
470_nda-12,1,2
505_nda-11,2,2
221_nda-11,2,1
620_nda-5,1,1
344_nda-18,1,2
194_nda-15,1,1
346_nda-1,2,0
217_nda-12,2,2
187_nda-1,2,2
420_nda-16,2,2
372_nda-4,1,1
197_nda-7,1,1
298_nda-10,2,2
363_nda-16,1,1
87_nda-1,2,2
305_nda-10,2,2
252_nda-5,2,2
263_nda-17,2,0
245_nda-5,1,1
324_nda-11,2,2
556_nda-15,1,1
300_nda-19,1,1
252_nda-18,2,2
341_nda-19,1,1
322_nda-18,2,2
192_nda-2,0,0
98_nda-3,1,1
239_nda-4,1,1
195_nda-4,1,1
177_nda-16,1,1
294_nda-13,1,1
255_nda-18,2,2
299_nda-1,2,0
258_nda-2,0,0
556_nda-4,1,1
494_nda-19,1,1
420_nda-11,2,2
144_nda-13,1,1
251_nda-10,2,1
214_nda-5,2,2
447_nda-8,1,1
160_nda-11,2,2
362_nda-5,1,1
613_nda-17,2,1
281_nda-4,1,2
231_nda-3,1,0
278_nda-1,2,2
494_nda-20,0,2
499_nda-4,1,1
249_nda-7,1,1
384_nda-3,1,2
410_nda-4,1,1
569_nda-16,1,2
173_nda-19,1,1
199_nda-16,1,2
151_nda-20,0,0
295_nda-16,2,2
603_nda-13,1,2
274_nda-20,1,1
334_nda-20,1,1
134_nda-11,2,2
173_nda-12,1,1
567_nda-10,1,2
251_nda-12,1,1
160_nda-5,1,1
425_nda-12,2,2
578_nda-13,1,1
345_nda-8,1,1
226_nda-11,2,2
238_nda-15,1,1
349_nda-19,1,1
516_nda-12,1,1
134_nda-19,1,1
214_nda-7,0,2
223_nda-4,1,1
297_nda-11,2,1
520_nda-8,1,1
490_nda-4,1,1
249_nda-13,1,1
168_nda-16,1,1
475_nda-17,2,0
163_nda-18,2,2
550_nda-7,1,1
305_nda-12,1,1
384_nda-1,2,2
128_nda-3,1,1
297_nda-7,1,1
428_nda-16,2,2
397_nda-18,2,1
570_nda-5,1,1
239_nda-19,2,2
322_nda-19,1,1
477_nda-16,1,2
276_nda-2,0,1
603_nda-10,2,1
255_nda-1,2,0
265_nda-7,0,0
593_nda-4,1,1
291_nda-12,2,2
182_nda-12,1,1
313_nda-7,0,2
312_nda-3,2,2
417_nda-11,2,2
534_nda-2,0,0
505_nda-15,1,2
177_nda-12,2,2
536_nda-13,1,1
391_nda-11,2,2
501_nda-19,1,1
111_nda-8,2,2
329_nda-3,1,1
578_nda-19,1,1
500_nda-20,0,0
276_nda-11,2,2
101_nda-7,1,0
619_nda-17,2,2
519_nda-10,1,1
128_nda-10,1,1
503_nda-12,1,1
531_nda-5,1,1
338_nda-18,2,2
602_nda-10,1,1
560_nda-12,1,1
166_nda-18,2,2
258_nda-12,1,1
275_nda-15,2,2
281_nda-13,1,1
149_nda-5,1,1
397_nda-12,2,2
430_nda-15,1,1
396_nda-1,2,1
608_nda-13,1,1
428_nda-3,2,2
427_nda-20,0,1
106_nda-1,2,0
113_nda-8,1,1
470_nda-15,1,1
283_nda-20,0,0
438_nda-19,2,2
407_nda-15,1,1
250_nda-16,1,2
567_nda-3,1,1
380_nda-3,2,2
404_nda-5,1,1
517_nda-19,1,2
115_nda-2,0,0
390_nda-13,1,2
274_nda-15,1,1
87_nda-19,1,1
556_nda-17,1,1
288_nda-16,1,2
422_nda-18,2,2
613_nda-11,2,1
420_nda-19,1,1
179_nda-16,2,2
349_nda-11,2,1
443_nda-19,2,2
298_nda-7,1,1
403_nda-13,1,1
423_nda-8,1,1
589_nda-1,2,2
441_nda-19,1,2
309_nda-2,0,0
343_nda-20,0,0
137_nda-19,1,2
264_nda-12,1,2
449_nda-3,2,2
417_nda-3,2,2
166_nda-3,1,2
383_nda-11,2,2
256_nda-1,2,2
391_nda-5,2,2
101_nda-10,2,2
258_nda-20,0,0
202_nda-10,1,1
492_nda-13,1,1
531_nda-12,1,1
505_nda-18,2,2
139_nda-19,2,2
241_nda-8,2,2
454_nda-16,2,1
428_nda-5,1,1
577_nda-10,1,1
391_nda-1,2,2
603_nda-8,1,2
100_nda-7,0,1
499_nda-1,2,2
430_nda-17,2,0
615_nda-18,1,1
230_nda-1,2,2
620_nda-11,2,2
142_nda-1,1,1
612_nda-2,0,2
132_nda-17,2,2
274_nda-7,1,0
415_nda-2,0,0
322_nda-10,2,2
567_nda-7,1,1
517_nda-5,1,1
333_nda-7,1,1
499_nda-13,1,1
503_nda-16,1,2
474_nda-20,1,1
262_nda-10,2,2
199_nda-13,1,1
328_nda-7,0,0
384_nda-5,1,1
345_nda-17,2,2
525_nda-12,1,2
351_nda-18,2,2
88_nda-1,0,0
490_nda-13,1,1
316_nda-20,0,2
148_nda-7,0,2
502_nda-17,1,1
148_nda-5,1,2
125_nda-17,2,2
394_nda-2,0,0
262_nda-15,2,2
587_nda-18,2,1
86_nda-20,0,0
215_nda-2,0,0
338_nda-16,2,1
399_nda-3,1,1
207_nda-5,1,1
110_nda-3,2,2
147_nda-4,1,1
503_nda-3,1,1
300_nda-20,0,0
308_nda-16,1,2
324_nda-17,2,2
578_nda-18,1,1
234_nda-16,2,1
113_nda-2,0,0
320_nda-15,1,1
364_nda-17,2,2
244_nda-20,0,2
240_nda-8,2,2
399_nda-1,2,0
226_nda-19,1,1
535_nda-13,1,1
541_nda-3,1,0
98_nda-20,0,0
260_nda-10,2,2
530_nda-3,1,1
608_nda-16,1,2
612_nda-8,2,2
616_nda-8,1,1
494_nda-2,0,0
123_nda-1,2,2
244_nda-7,0,0
273_nda-19,1,1
122_nda-1,2,2
520_nda-4,1,1
143_nda-4,1,1
583_nda-16,1,1
494_nda-10,2,2
358_nda-4,1,1
135_nda-1,1,1
278_nda-20,2,2
179_nda-19,1,1
270_nda-13,1,1
473_nda-1,2,1
105_nda-7,1,1
261_nda-11,2,2
621_nda-3,1,1
163_nda-3,1,1
612_nda-12,2,2
188_nda-20,0,2
230_nda-20,0,2
502_nda-8,1,1
495_nda-7,1,1
203_nda-16,2,1
557_nda-18,2,1
231_nda-17,2,1
436_nda-7,0,0
587_nda-16,2,1
388_nda-20,0,0
154_nda-16,1,1
437_nda-16,1,1
569_nda-19,1,1
171_nda-17,1,2
298_nda-15,1,1
494_nda-8,1,2
292_nda-15,1,1
323_nda-15,1,1
418_nda-17,2,2
342_nda-10,2,1
194_nda-4,1,1
474_nda-3,2,2
136_nda-8,1,1
195_nda-5,1,2
246_nda-20,0,2
142_nda-8,1,1
345_nda-10,1,2
222_nda-1,0,0
167_nda-2,0,0
124_nda-5,1,1
315_nda-15,1,1
274_nda-19,1,1
439_nda-5,1,1
91_nda-5,1,2
325_nda-8,1,1
194_nda-3,1,1
373_nda-17,2,1
337_nda-1,0,0
527_nda-18,1,2
251_nda-8,1,1
617_nda-2,0,0
255_nda-20,0,0
325_nda-2,0,0
566_nda-2,0,2
530_nda-1,0,0
115_nda-17,2,1
616_nda-18,1,1
414_nda-10,1,1
356_nda-2,0,2
115_nda-12,1,1
92_nda-8,1,1
187_nda-7,0,0
461_nda-18,2,2
139_nda-3,2,1
133_nda-17,2,0
93_nda-13,1,1
518_nda-10,1,1
294_nda-17,2,1
104_nda-3,1,1
554_nda-11,2,2
151_nda-18,2,2
143_nda-11,2,1
197_nda-1,0,0
556_nda-3,1,1
329_nda-10,1,1
464_nda-19,1,2
237_nda-13,1,1
567_nda-1,0,0
284_nda-4,1,2
383_nda-8,2,1
603_nda-20,0,2
145_nda-7,0,2
531_nda-7,1,1
241_nda-19,1,1
548_nda-7,0,1
554_nda-5,1,1
436_nda-19,1,2
229_nda-4,1,1
235_nda-17,2,0
380_nda-11,2,2
260_nda-2,0,2
382_nda-4,1,2
105_nda-18,2,2
592_nda-11,2,1
443_nda-5,2,2
204_nda-12,1,2
554_nda-2,0,1
348_nda-4,1,1
204_nda-1,2,1
267_nda-3,1,1
146_nda-18,2,2
308_nda-8,1,1
247_nda-12,1,1
241_nda-17,2,2
458_nda-1,2,2
98_nda-17,2,0
178_nda-11,2,2
439_nda-8,1,1
177_nda-19,1,1
237_nda-19,1,1
230_nda-18,2,2
378_nda-19,1,2
237_nda-7,1,1
426_nda-17,2,2
179_nda-7,0,0
276_nda-20,0,0
518_nda-18,1,2
96_nda-3,2,2
121_nda-13,1,1
425_nda-15,2,2
121_nda-17,2,2
156_nda-15,1,1
180_nda-5,1,1
267_nda-5,1,1
333_nda-10,2,2
91_nda-7,0,2
262_nda-8,2,2
524_nda-11,2,2
246_nda-11,2,2
324_nda-15,1,1
322_nda-11,2,2
371_nda-4,1,1
561_nda-8,2,2
276_nda-16,1,1
366_nda-2,0,0
128_nda-20,0,1
397_nda-19,2,2
170_nda-1,0,0
119_nda-13,1,2
86_nda-18,2,2
612_nda-15,2,2
339_nda-12,2,2
275_nda-19,2,1
535_nda-10,1,1
375_nda-7,0,0
373_nda-10,2,2
536_nda-15,1,1
305_nda-17,2,2
434_nda-7,0,0
173_nda-15,1,2
124_nda-12,1,2
166_nda-7,1,1
145_nda-16,1,1
252_nda-7,2,2
518_nda-8,1,1
318_nda-17,1,2
166_nda-15,1,1
427_nda-8,1,1
94_nda-15,1,1
458_nda-15,2,2
477_nda-2,0,0
472_nda-3,1,1
404_nda-11,2,2
581_nda-15,1,1
468_nda-2,0,0
434_nda-17,2,2
242_nda-8,2,2
469_nda-15,1,1
512_nda-1,2,2
249_nda-20,1,1
360_nda-20,1,1
263_nda-16,1,2
221_nda-20,0,0
251_nda-16,1,2
168_nda-1,1,1
424_nda-11,2,2
286_nda-15,1,1
490_nda-1,1,1
344_nda-1,1,0
459_nda-2,0,0
504_nda-20,1,1
372_nda-13,1,1
112_nda-10,2,2
273_nda-11,2,2
439_nda-7,0,0
557_nda-19,1,1
394_nda-13,1,1
151_nda-17,2,1
515_nda-11,2,2
454_nda-2,0,2
624_nda-16,2,2
619_nda-16,1,1
513_nda-16,2,1
529_nda-17,2,2
141_nda-1,2,2
265_nda-3,1,1
477_nda-7,1,1
91_nda-3,1,1
279_nda-2,0,2
272_nda-10,2,2
581_nda-1,2,2
551_nda-13,1,1
265_nda-15,1,1
373_nda-1,2,2
459_nda-5,1,2
343_nda-12,1,2
291_nda-17,2,2
370_nda-5,1,1
399_nda-11,2,2
330_nda-11,2,2
315_nda-5,1,1
424_nda-17,2,2
269_nda-4,1,1
475_nda-3,2,2
133_nda-20,0,0
459_nda-4,1,1
333_nda-3,1,2
139_nda-20,0,2
574_nda-19,1,1
580_nda-10,2,2
231_nda-4,1,1
344_nda-20,1,1
309_nda-12,1,2
125_nda-15,1,1
327_nda-15,1,1
323_nda-12,1,1
589_nda-11,2,2
580_nda-15,1,1
284_nda-11,2,2
243_nda-5,1,1
441_nda-10,1,1
269_nda-2,0,0
177_nda-15,1,2
286_nda-19,1,1
254_nda-13,1,1
438_nda-5,1,1
126_nda-8,1,1
265_nda-19,1,1
509_nda-15,1,2
102_nda-8,1,1
345_nda-3,1,2
609_nda-2,0,2
367_nda-7,1,1
390_nda-20,0,2
512_nda-10,2,2
457_nda-13,2,2
119_nda-10,2,2
545_nda-18,2,1
580_nda-19,1,2
484_nda-8,2,1
463_nda-18,2,2
144_nda-4,1,1
135_nda-2,0,1
613_nda-18,2,2
148_nda-11,2,2
379_nda-1,0,0
162_nda-1,1,0
224_nda-12,1,1
483_nda-3,1,1
322_nda-1,2,2
531_nda-11,2,2
89_nda-10,2,2
89_nda-16,1,1
337_nda-2,0,0
366_nda-18,2,2
624_nda-4,1,1
314_nda-18,2,1
174_nda-17,2,1
450_nda-2,0,1
238_nda-3,1,1
464_nda-4,1,1
202_nda-15,1,1
147_nda-12,1,2
593_nda-15,1,2
339_nda-2,0,2
277_nda-17,2,2
259_nda-4,1,2
348_nda-18,2,2
424_nda-20,2,2
230_nda-5,2,0
248_nda-12,1,1
318_nda-20,1,1
463_nda-8,1,1
353_nda-3,1,1
477_nda-20,0,0
437_nda-20,0,0
326_nda-17,0,0
597_nda-16,2,2
280_nda-16,1,2
122_nda-20,0,2
428_nda-7,1,1
436_nda-10,2,1
615_nda-3,1,1
298_nda-12,1,1
192_nda-4,1,1
364_nda-20,0,1
551_nda-15,1,2
183_nda-18,2,2
245_nda-2,0,0
320_nda-17,2,2
454_nda-11,2,2
223_nda-16,1,1
501_nda-8,1,2
104_nda-4,1,1
529_nda-16,2,2
370_nda-18,2,2
166_nda-1,1,1
592_nda-3,1,1
128_nda-15,1,1
608_nda-4,1,2
460_nda-10,2,2
221_nda-17,1,1
490_nda-5,1,1
329_nda-16,2,2
538_nda-16,2,2
186_nda-11,2,1
396_nda-10,2,2
426_nda-20,0,0
312_nda-20,2,0
153_nda-15,1,1
260_nda-20,1,1
355_nda-3,1,1
244_nda-11,2,2
244_nda-8,1,1
592_nda-7,1,1
105_nda-3,1,1
358_nda-2,0,0
186_nda-1,2,0
613_nda-2,0,0
477_nda-3,1,2
423_nda-13,1,1
279_nda-10,2,2
106_nda-19,1,1
112_nda-17,2,2
442_nda-15,1,2
273_nda-18,1,1
210_nda-15,1,2
254_nda-12,1,1
169_nda-8,1,1
277_nda-5,1,1
148_nda-2,0,0
302_nda-20,0,0
545_nda-19,2,2
499_nda-7,0,1
474_nda-19,2,2
249_nda-16,2,2
355_nda-13,1,1
126_nda-11,2,1
345_nda-19,1,1
519_nda-17,2,2
34_nda-10,1,1
568_nda-3,2,2
623_nda-15,1,1
122_nda-8,1,1
312_nda-18,2,2
325_nda-1,2,2
126_nda-2,0,1
352_nda-10,2,2
109_nda-2,0,0
500_nda-3,2,2
294_nda-20,0,0
226_nda-5,1,1
536_nda-20,1,1
106_nda-20,0,0
453_nda-8,1,1
103_nda-15,1,1
475_nda-18,2,2
306_nda-5,1,1
167_nda-1,0,0
442_nda-13,1,2
404_nda-8,1,1
254_nda-16,1,1
607_nda-18,1,1
286_nda-13,1,1
449_nda-12,2,2
131_nda-7,1,1
302_nda-5,1,1
222_nda-16,1,1
503_nda-15,1,1
447_nda-16,1,2
345_nda-2,0,0
153_nda-11,2,2
467_nda-12,1,1
469_nda-4,1,1
167_nda-18,2,2
237_nda-4,1,1
257_nda-13,1,1
525_nda-2,0,0
114_nda-7,1,2
331_nda-11,2,2
250_nda-2,0,0
621_nda-7,1,1
297_nda-17,2,1
120_nda-4,1,1
91_nda-19,1,1
624_nda-15,1,1
587_nda-10,2,2
217_nda-5,1,1
483_nda-7,1,0
427_nda-11,2,2
580_nda-20,0,0
347_nda-5,1,1
349_nda-17,2,1
297_nda-4,1,1
211_nda-4,1,1
609_nda-4,1,1
93_nda-3,1,2
346_nda-4,1,1
179_nda-4,1,1
425_nda-3,2,1
439_nda-17,2,1
467_nda-10,1,1
214_nda-15,1,2
360_nda-5,1,1
308_nda-11,2,2
278_nda-8,2,2
534_nda-1,2,2
377_nda-3,2,2
396_nda-11,2,2
502_nda-12,1,1
494_nda-3,1,2
245_nda-20,1,1
470_nda-18,2,2
274_nda-5,1,1
136_nda-7,1,1
407_nda-20,1,0
93_nda-5,1,1
241_nda-4,1,1
230_nda-7,0,0
364_nda-13,1,1
615_nda-7,1,1
545_nda-3,2,2
187_nda-5,1,1
250_nda-19,1,1
292_nda-1,1,1
470_nda-20,0,0
153_nda-20,0,1
220_nda-2,0,0
172_nda-1,0,2
207_nda-10,2,2
568_nda-12,2,2
246_nda-8,2,1
306_nda-1,1,1
517_nda-12,1,1
273_nda-2,0,2
473_nda-18,2,2
201_nda-13,1,1
259_nda-10,2,2
333_nda-19,1,1
278_nda-10,2,2
254_nda-4,1,1
318_nda-3,1,1
538_nda-5,1,1
100_nda-4,1,1
144_nda-15,1,1
397_nda-10,2,2
393_nda-1,2,1
589_nda-15,1,2
580_nda-8,1,1
254_nda-10,2,2
270_nda-12,1,1
463_nda-3,1,1
196_nda-3,1,1
366_nda-3,1,1
572_nda-3,1,1
109_nda-1,2,2
622_nda-16,1,2
232_nda-11,2,2
306_nda-11,2,2
379_nda-16,1,1
136_nda-4,1,1
443_nda-10,2,2
530_nda-13,1,1
285_nda-10,2,2
146_nda-10,2,2
520_nda-19,1,2
578_nda-3,1,2
167_nda-17,2,2
369_nda-10,2,2
91_nda-15,1,1
233_nda-8,2,1
620_nda-2,0,2
196_nda-4,1,1
428_nda-11,2,2
240_nda-13,2,2
241_nda-5,2,2
509_nda-3,1,2
454_nda-20,0,0
509_nda-18,1,1
306_nda-7,1,1
291_nda-15,1,1
443_nda-13,2,2
448_nda-19,1,1
153_nda-12,1,2
221_nda-3,1,1
192_nda-1,0,0
396_nda-3,1,1
159_nda-17,2,0
577_nda-20,1,1
570_nda-19,1,1
319_nda-11,2,2
319_nda-5,1,1
372_nda-20,1,1
306_nda-17,1,2
279_nda-13,1,1
373_nda-13,1,2
350_nda-7,1,1
614_nda-12,1,1
519_nda-4,1,1
94_nda-18,2,2
279_nda-7,0,2
258_nda-3,1,1
351_nda-17,2,2
462_nda-10,2,1
347_nda-15,1,1
211_nda-17,2,2
124_nda-3,1,1
106_nda-2,0,0
250_nda-7,1,1
522_nda-8,1,1
439_nda-12,1,1
367_nda-2,0,0
187_nda-2,0,2
617_nda-7,1,1
607_nda-17,2,2
604_nda-18,1,1
427_nda-5,1,1
101_nda-19,1,1
241_nda-16,1,1
259_nda-16,2,2
280_nda-10,2,1
239_nda-12,2,2
88_nda-19,1,2
529_nda-12,1,2
453_nda-4,1,1
193_nda-17,1,1
191_nda-3,1,1
390_nda-18,2,2
128_nda-13,1,2
204_nda-11,2,2
617_nda-5,1,1
125_nda-1,2,0
350_nda-1,1,2
428_nda-4,1,1
326_nda-3,1,1
145_nda-20,0,0
424_nda-2,0,0
220_nda-18,2,2
280_nda-11,2,2
613_nda-10,2,2
238_nda-12,1,1
144_nda-7,1,1
203_nda-17,2,2
587_nda-7,0,0
371_nda-1,0,1
614_nda-19,1,2
420_nda-12,1,2
419_nda-1,2,2
86_nda-15,1,1
329_nda-1,2,2
125_nda-11,2,2
133_nda-15,1,1
380_nda-1,2,2
163_nda-16,1,1
263_nda-3,1,2
331_nda-2,0,0
333_nda-1,2,2
445_nda-2,0,0
592_nda-4,1,1
560_nda-18,2,2
145_nda-8,1,2
251_nda-15,1,1
238_nda-2,0,2
609_nda-5,1,2
485_nda-18,1,2
327_nda-4,1,1
174_nda-19,1,1
352_nda-12,1,1
593_nda-16,1,2
383_nda-16,2,2
487_nda-5,1,1
583_nda-8,1,1
170_nda-4,1,1
581_nda-3,1,1
607_nda-20,1,1
183_nda-4,1,1
337_nda-8,1,1
250_nda-8,1,1
561_nda-7,0,0
477_nda-10,2,2
134_nda-15,1,1
502_nda-16,1,2
379_nda-8,1,1
211_nda-18,2,2
171_nda-13,1,1
215_nda-19,1,2
581_nda-20,0,1
86_nda-2,0,0
594_nda-10,1,1
306_nda-16,1,1
500_nda-17,2,0
249_nda-18,1,1
428_nda-17,2,2
207_nda-19,1,2
447_nda-5,1,1
339_nda-3,2,2
151_nda-15,1,1
397_nda-4,1,1
192_nda-5,1,1
242_nda-7,1,1
298_nda-4,1,1
229_nda-13,2,2
439_nda-13,1,1
588_nda-5,1,1
270_nda-17,2,2
579_nda-19,1,1
518_nda-4,1,1
365_nda-18,2,2
603_nda-11,2,2
536_nda-7,1,1
624_nda-11,2,2
447_nda-17,0,0
119_nda-16,1,2
442_nda-7,0,0
279_nda-18,2,2
326_nda-13,1,1
578_nda-2,0,0
460_nda-11,2,2
126_nda-20,0,0
277_nda-15,1,2
137_nda-16,1,1
571_nda-15,1,1
272_nda-13,1,1
187_nda-8,2,2
161_nda-5,1,1
197_nda-2,0,0
295_nda-7,2,2
447_nda-19,1,1
487_nda-17,1,1
96_nda-11,2,1
142_nda-15,1,1
353_nda-18,2,2
322_nda-13,2,2
495_nda-10,2,2
466_nda-12,2,2
286_nda-12,1,1
134_nda-4,1,1
447_nda-15,1,1
447_nda-10,1,1
427_nda-12,1,1
346_nda-20,0,2
350_nda-11,2,2
592_nda-5,1,1
308_nda-5,1,1
569_nda-8,1,1
567_nda-4,1,1
341_nda-4,1,1
386_nda-3,2,2
221_nda-4,1,1
326_nda-19,1,1
353_nda-1,2,2
525_nda-17,2,2
425_nda-10,2,2
550_nda-12,1,2
457_nda-12,2,2
172_nda-7,1,0
377_nda-13,1,1
463_nda-17,1,1
447_nda-13,1,1
184_nda-10,2,2
393_nda-16,2,2
284_nda-1,2,2
207_nda-2,0,0
184_nda-3,1,1
339_nda-7,2,2
425_nda-20,2,2
295_nda-15,2,2
460_nda-1,1,1
619_nda-3,1,1
424_nda-13,2,2
384_nda-13,1,2
618_nda-18,1,1
562_nda-16,1,1
253_nda-18,2,2
116_nda-15,1,1
342_nda-11,2,2
340_nda-18,2,2
384_nda-15,1,1
587_nda-15,1,1
287_nda-19,1,1
538_nda-11,2,2
184_nda-16,2,2
183_nda-17,2,2
242_nda-11,2,2
570_nda-10,1,2
119_nda-20,0,2
153_nda-7,1,1
599_nda-8,2,2
373_nda-16,1,2
363_nda-11,2,2
258_nda-19,1,1
93_nda-20,0,2
312_nda-7,2,2
573_nda-5,0,0
130_nda-5,1,1
233_nda-2,0,0
424_nda-19,2,2
150_nda-2,0,2
453_nda-11,2,2
504_nda-5,1,1
513_nda-18,1,1
466_nda-19,1,2
589_nda-13,1,1
583_nda-5,1,1
297_nda-5,1,1
230_nda-16,1,2
285_nda-8,2,2
119_nda-8,2,2
221_nda-10,2,2
314_nda-19,1,1
142_nda-12,1,1
247_nda-16,1,1
256_nda-4,1,1
529_nda-2,0,0
501_nda-12,2,2
136_nda-5,1,1
362_nda-15,1,1
374_nda-3,2,2
620_nda-20,1,1
577_nda-12,1,1
379_nda-13,1,1
364_nda-3,1,2
302_nda-4,1,2
241_nda-12,2,2
146_nda-2,0,0
475_nda-4,1,1
571_nda-10,1,1
359_nda-7,1,1
108_nda-11,2,2
475_nda-1,2,2
136_nda-17,1,1
346_nda-11,2,2
572_nda-11,2,1
581_nda-7,1,1
330_nda-17,2,2
574_nda-11,2,1
363_nda-15,1,1
131_nda-13,1,1
285_nda-15,2,2
122_nda-15,1,1
131_nda-19,1,1
473_nda-19,1,2
203_nda-19,1,1
492_nda-12,2,2
110_nda-8,2,2
264_nda-4,1,2
450_nda-20,0,0
113_nda-7,1,1
520_nda-10,1,1
291_nda-11,2,2
492_nda-18,2,2
242_nda-4,1,2
593_nda-11,2,2
279_nda-11,2,1
577_nda-15,1,1
315_nda-17,2,2
583_nda-11,2,2
457_nda-16,2,2
302_nda-19,1,1
111_nda-12,1,1
427_nda-10,1,1
593_nda-3,1,1
230_nda-4,1,1
574_nda-2,0,0
188_nda-2,0,0
209_nda-1,1,1
308_nda-7,1,0
240_nda-4,2,1
217_nda-11,2,2
502_nda-4,1,0
208_nda-7,0,1
499_nda-16,2,2
195_nda-2,0,2
210_nda-1,2,0
359_nda-12,1,1
362_nda-18,2,2
161_nda-19,1,1
574_nda-12,1,1
436_nda-5,1,2
235_nda-3,2,2
89_nda-15,1,1
562_nda-3,1,2
518_nda-1,0,0
192_nda-7,1,0
573_nda-1,2,1
535_nda-7,1,1
609_nda-7,1,0
554_nda-3,1,1
513_nda-13,1,1
445_nda-15,2,2
96_nda-17,2,0
434_nda-8,1,1
193_nda-12,1,1
338_nda-3,1,1
339_nda-15,2,2
568_nda-15,2,2
608_nda-11,2,2
295_nda-12,2,2
277_nda-7,0,0
468_nda-3,1,2
199_nda-12,1,1
557_nda-11,2,2
234_nda-15,2,2
179_nda-3,1,2
168_nda-11,2,2
236_nda-19,1,2
308_nda-17,1,1
98_nda-10,2,2
553_nda-17,2,2
337_nda-12,1,1
382_nda-18,2,1
380_nda-16,1,2
